dtime,GHI,TEMP,WS,WD,PREC,PWAT,SDWE,interval,interval_day,report_date,report_time,update_time,govern_flag,input_ghi,input_ghi_source,temp_c_source,wind_speed_source,wind_dir_source,precip_source,sdwe_source,pwat_source,temp_c_is_observed,wind_speed_is_observed,wind_dir_is_observed,precip_is_observed,sdwe_is_observed,pwat_is_observed,temp_c,wind_speed,wind_dir,precip,sdwe,pwat_raw,aod700,pressure_pa,pressure_pa_source,pressure_pa_is_observed,aod700_source,aod700_is_observed,pwv_cm,pwv_cm_source,pwv_cm_is_observed,weather_is_joined,weather_join_status,feature_quality_flags,source_type,station_name,latitude,longitude,altitude_m,timezone,timestamp_local,day_of_year,apparent_zenith,apparent_elevation,mu0_target,dni_extra,tau_rayleigh,tau_water,tau_aer,ghi_clear_target,dni_clear_target,dhi_clear_target,clear_sky_backend,t_clr_dd,clear_sky_index_last,smart_persistence_ghi,clear_sky_index_current,clear_sky_residual_last,clear_sky_gap,weather_attenuation_prior,weather_adjusted_clear_sky_ghi,ghi_clear_horizon_5min,mu0_horizon_5min,weather_adjusted_clear_sky_ghi_horizon_5min,ghi_clear_horizon_4h,mu0_horizon_4h,weather_adjusted_clear_sky_ghi_horizon_4h,ghi_clear_horizon_1d,mu0_horizon_1d,weather_adjusted_clear_sky_ghi_horizon_1d,target_ghi_5min,target_ghi_5min_source,target_ghi_4h,target_ghi_4h_source,target_ghi_1d,target_ghi_1d_source,source_file
2024-01-01 00:00:00,0,-7.4,1.9,223,0,2.0,0.73,240,1,2023-12-31,20_00,0,0,0,observed_or_forecast,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,1.0,1.0,1.0,1.0,1.0,1.0,-7.4,1.9,223,0,0.73,2.0,0.08,101325.0,altitude_estimated,0.0,default,0.0,0.2,PWAT,1.0,1.0,available_in_source,pressure_altitude_estimated;altitude_0m;aod700_default,forecast_4h,forecast_grid_or_station,29.919,100.641,0.0,Asia/Shanghai,2024-01-01 00:00:00+08:00,1,160.79373265076845,-70.79373265076845,0.0,1408.70305,0.00877,0.1463359350896088,0.08,0.0,0.0,0.0,pvlib_simplified_solis,0.0,0.0,0.0,0.0,0.0,0.0,0.659194694043097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,future_observed_or_forecast_ghi,0.0,future_observed_or_forecast_ghi,0.0,fallback_current_ghi,天气预报（4小时）.xlsx
2024-01-01 01:00:00,0,-7.8,1.8,226,0,2.1,0.73,240,1,2023-12-31,21_00,0,0,0,observed_or_forecast,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,1.0,1.0,1.0,1.0,1.0,1.0,-7.8,1.8,226,0,0.73,2.1,0.08,101325.0,altitude_estimated,0.0,default,0.0,0.21000000000000002,PWAT,1.0,1.0,available_in_source,pressure_altitude_estimated;altitude_0m;aod700_default,forecast_4h,forecast_grid_or_station,29.919,100.641,0.0,Asia/Shanghai,2024-01-01 01:00:00+08:00,1,171.7700313861692,-81.7700313861692,0.0,1408.70305,0.00877,0.14851897364438146,0.08,0.0,0.0,0.0,pvlib_simplified_solis,0.0,0.0,0.0,0.0,0.0,0.0,0.6587393783735478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,future_observed_or_forecast_ghi,0.0,future_observed_or_forecast_ghi,0.0,fallback_current_ghi,天气预报（4小时）.xlsx
2024-01-01 02:00:00,0,-8.2,2.1,223,0,2.2,0.73,240,1,2023-12-31,22_00,0,0,0,observed_or_forecast,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,1.0,1.0,1.0,1.0,1.0,1.0,-8.2,2.1,223,0,0.73,2.2,0.08,101325.0,altitude_estimated,0.0,default,0.0,0.22000000000000003,PWAT,1.0,1.0,available_in_source,pressure_altitude_estimated;altitude_0m;aod700_default,forecast_4h,forecast_grid_or_station,29.919,100.641,0.0,Asia/Shanghai,2024-01-01 02:00:00+08:00,1,168.79237874415784,-78.79237874415784,0.0,1408.70305,0.00877,0.15063075989419616,0.08,0.0,0.0,0.0,pvlib_simplified_solis,0.0,0.0,0.0,0.0,0.0,0.0,0.66009126633009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,future_observed_or_forecast_ghi,0.0,fallback_current_ghi,0.0,fallback_current_ghi,天气预报（4小时）.xlsx
2024-01-01 03:00:00,0,-8.7,1.6,221,0,2.3,0.73,240,1,2023-12-31,23_00,0,0,0,observed_or_forecast,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,1.0,1.0,1.0,1.0,1.0,1.0,-8.7,1.6,221,0,0.73,2.3,0.08,101325.0,altitude_estimated,0.0,default,0.0,0.22999999999999998,PWAT,1.0,1.0,available_in_source,pressure_altitude_estimated;altitude_0m;aod700_default,forecast_4h,forecast_grid_or_station,29.919,100.641,0.0,Asia/Shanghai,2024-01-01 03:00:00+08:00,1,156.72540151173354,-66.72540151173354,0.0,1408.70305,0.00877,0.15267670604674757,0.08,0.0,0.0,0.0,pvlib_simplified_solis,0.0,0.0,0.0,0.0,0.0,0.0,0.6578156133750651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,future_observed_or_forecast_ghi,0.0,fallback_current_ghi,0.0,fallback_current_ghi,天气预报（4小时）.xlsx
2024-01-01 04:00:00,0,-9.2,1.5,223,0,2.4,0.73,240,0,2024-01-01,00_00,0,0,0,observed_or_forecast,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,1.0,1.0,1.0,1.0,1.0,1.0,-9.2,1.5,223,0,0.73,2.4,0.08,101325.0,altitude_estimated,0.0,default,0.0,0.24,PWAT,1.0,1.0,available_in_source,pressure_altitude_estimated;altitude_0m;aod700_default,forecast_4h,forecast_grid_or_station,29.919,100.641,0.0,Asia/Shanghai,2024-01-01 04:00:00+08:00,1,143.80624517985274,-53.80624517985274,0.0,1408.70305,0.00877,0.15466159876127367,0.08,0.0,0.0,0.0,pvlib_simplified_solis,0.0,0.0,0.0,0.0,0.0,0.0,0.6573475598721112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,future_observed_or_forecast_ghi,0.0,fallback_current_ghi,0.0,fallback_current_ghi,天气预报（4小时）.xlsx
2024-01-01 05:00:00,0,-9.8,1.5,226,0,2.5,0.73,240,0,2024-01-01,01_00,0,0,0,observed_or_forecast,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,observed_or_joined,1.0,1.0,1.0,1.0,1.0,1.0,-9.8,1.5,226,0,0.73,2.5,0.08,101325.0,altitude_estimated,0.0,default,0.0,0.25,PWAT,1.0,1.0,available_in_source,pressure_altitude_estimated;altitude_0m;aod700_default,forecast_4h,forecast_grid_or_station,29.919,100.641,0.0,Asia/Shanghai,2024-01-01 05:00:00+08:00,1,130.82444786091526,-40.82444786091526,0.0,1408.70305,0.00877,0.15658969420683014,0.08,0.0,0.0,0.0,pvlib_simplified_solis,0.0,0.0,0.0,0.0,0.0,0.0,0.6573475598721112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fallback_current_ghi,0.0,fallback_current_ghi,0.0,fallback_current_ghi,天气预报（4小时）.xlsx
